Broadcast date,URL,Start,End,Text
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0844-unprecedented_demand_for_kaupapa_maori_mental_health_services-128.mp3,1:36.874,1:51.553,So what we've come to um find out is that a lot of our whānau are victims of colonisation so this program helps to enhance the knowledge and practice of te ao Māori for those who are interested um and then they get to discover other ways.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0844-unprecedented_demand_for_kaupapa_maori_mental_health_services-128.mp3,2:11.261,2:28.084,The message is hugely positive ah the ability and the opportunity to serve their communities is coming through strong and clear like I say though I think the uniqueness of these services across the country has really stood out for me. The foundations the same but the carvings in the house are different.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0844-unprecedented_demand_for_kaupapa_maori_mental_health_services-128.mp3,2:57.072,3:19.590,We have only been afforded fourteen FTE to go across five providers. You know we still talk about who most at need where we say Māori and Pasifika is still the highest need but the FTEs are being afforded to non-Māori non-Pacific organizations. I don't know whether that is that a trust issue? We'll leave it at that.
03/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220803-0853-auckland_mayoral_candidate_wants_to_open_abandoned_tunnels-128.mp3,2:25.385,2:41.365,"And that hasn't been redone now but we are still anticipating over time there will be growth. The city center may have some enduring change, but we're still anticipating growth and that east west link does have some challenges in terms of entry points to the city center."
01/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220801-0751-iwi_experts_want_more_onshore_cloud_data_storage-128.mp3,1:20.980,1:38.943,"Years ago the government was nervous enough about data misuse and loss of control it set limits on cloud service use, then turned that on its head including with twenty sixteen's cloud first policy; but since the country lacked for major cloud providers this meant offshoring."
01/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220801-0751-iwi_experts_want_more_onshore_cloud_data_storage-128.mp3,2:00.073,2:16.096,"There actually needs to be a strategic investment in a wider range of options and taking a sort of intergenerational approach to data as a taonga means that we can actually start investing locally, that doesn't mean just putting our data in you know AWS in Sydney."
01/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220801-0751-iwi_experts_want_more_onshore_cloud_data_storage-128.mp3,3:06.970,3:21.349,We often hear that there's a technical decision being made to choose an overseas service and that it's above somebody's pay grade to consider the issues of data sovereignty and what happens to it.
01/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220801-0751-iwi_experts_want_more_onshore_cloud_data_storage-128.mp3,3:54.425,4:14.042,"That's exactly what we see happening, we have iwi, hapu, um whenua trusts um but I that have these computers um hosted wherever you know could be at somebody's house. You know I personally have my own pātaka or family cloud server running in a little closet in in my lounge."
01/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220801-0843-marlborough_council_pumping_excess_wastewater_into_rivers-128.mp3,2:33.983,2:52.509,um also recognizing that some of the um problems that are occurring are with Marlborough's and Blenheim in particulars very high ground water table where sewer networks that are generally ah above the waterline and when the groundwater comes up are submerged.
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0618-less_than_0_point_5pct_of_hawkes_bay_commuters_use_bus-128.mp3,0:54.609,1:09.991,And here's a bonus: a trip from Napier to Hastings and back only cost me a dollar fifty. There are about eleven different bus routes in Hawke's Bay but using public transport isn't popular. These Napier people never do and here's why.
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0618-less_than_0_point_5pct_of_hawkes_bay_commuters_use_bus-128.mp3,1:14.505,1:26.362,It's just convenience you know? If I want to go somewhere and if when I move houses and if the bus doesn't go there then it's like pretty much a hassle for you. So it's very convenient to like invest in a car for me
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0618-less_than_0_point_5pct_of_hawkes_bay_commuters_use_bus-128.mp3,2:10.046,2:24.573,"We are well aware of our current bus service being inconvenient, not useful for most people. Most of our routes run only every thirty minutes to one hour meaning long wait times."
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0618-less_than_0_point_5pct_of_hawkes_bay_commuters_use_bus-128.mp3,3:01.203,3:16.082,As you said we've got the lowest car ownership and no public transport and the highest deprivation statistics in New Zealand. Um the driver's licenses processing is conducted out of town. We're severely disadvantaged
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0744-tiwai_pt_power_talks_please_southland_chamber_of_commerce-128.mp3,1:15.827,1:37.645,"Ah, significant. When you talk about what two and a half thousand direct and indirect jobs um the the economic and social fabric of Southland uh would suffer significantly I think in the short term so I suppose having that certainty provides stability into our economy uh and I think certainly from an energy perspective having that certainty in the grid uh would be um important to to New Zealand as well."
29/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220729-0822-three_meteor_showers_to_dazzle_night_sky_this_weekend-128.mp3,2:26.398,2:52.450,"Well one of the nice things about meteor showers is you don't need a telescope you just need the mark one eyeball um and a as I say a deck chair, and maybe some co- some cocoa or something stronger to keep you going. Um scientifically to be honest um understanding which comets cause these things is quite interesting but it's more really for the aesthetics that we enjoy this um the the sheer pleasure of seeing a cosmic event going on above your head so scientifically not particularly useful but beautiful nonetheless."
27/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220727-0648-dozens_of_roads_still_closed_across_otago_canterbury-128.mp3,0:07.002,0:17.327,Access to dozens of roads across Canterbury and Otago remain heavily restricted or closed. More than twenty roads are still shut this morning in the Waitaki district alone.
27/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220727-0648-dozens_of_roads_still_closed_across_otago_canterbury-128.mp3,0:27.000,0:45.811,We've certainly had a lot of rain overnight and we have had a number of highways impact on the lower South Island so just south of Timaru State Highway One is closed as is State Highway Eighty Two between Waimate and Waihao Downs and then just further south between Palmerston and Dunedin State Highway One is also closed.
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0710-big_clean_up_needed_in_coromandel_after_weather_hit-128.mp3,0:51.526,1:09.469,"There are road closures in other parts of the North Island though, in the Bay of Plenty a slip blocking State Highway Thirty Three east of Rotorua between Allport Road and Maniatutu Road. It is going to be shut or likely to be shut there all day. Now many residents also across Coromandel are cut off this morning."
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0710-big_clean_up_needed_in_coromandel_after_weather_hit-128.mp3,1:51.641,2:05.746,um as you've just alluded to pretty much the Coromandel from if you draw a line from Waihi through to Thames it's pretty much isolated you can uh travel up the Thames Coast Road to Tapu and that's it um you can't get through to Whangamatā.
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0837-tauranga_mp_wants_agreement_between_port_iwi-128.mp3,0:24.706,0:39.830,Whareroa marae sits at the edge of Tauranga Harbour encircled by an industrial area that's crept up to its back fence. On one side there's the airport on the other a motorway and out back the Port of Tauranga and a tank farm.
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0837-tauranga_mp_wants_agreement_between_port_iwi-128.mp3,0:48.491,1:05.936,"We know that we've had two of our um kaumātua that have died from related symptoms from exposure to these chemicals. The other end we've got kids that are having asthma attacks, we've got people getting sore eyes, throat, mouth, we've got people struggling to breathe and we've got higher respiratory problems."
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0837-tauranga_mp_wants_agreement_between_port_iwi-128.mp3,2:13.672,2:22.609,"There's a lot of horse mussels which were prevalent around here are gone, scallops gone and in addition uh a lot of the traditional pipi beds are gone now."
26/07/2022,https://podcast.radionz.co.nz/mnr/mnr-20220726-0837-tauranga_mp_wants_agreement_between_port_iwi-128.mp3,3:16.377,3:33.485,"If it goes ahead that is just total disregard for the mana of tangata whenua. If we go to article two were we were to be undisturbed of our states, of our rivers, of our oceans, of our mountains, and of our land and of our taonga. Twenty twenty two and we still breaching the contract that validates for these systems to be able to operate here in Aotearoa. "
